group,function,value,sample_time_nanos,iteration_count
[6d87c1b] 1+1 10000 times,,2048,48855539.0,66281109
[6d87c1b] 1+1 10000 times,,2048,190830568.0,132562218
[6d87c1b] 1+1 10000 times,,2048,285506082.0,198843327
[6d87c1b] 1+1 10000 times,,2048,371559611.0,265124436
[6d87c1b] 1+1 10000 times,,2048,443005253.0,331405545
[6d87c1b] 1+1 10000 times,,2048,549658248.0,397686654
[6d87c1b] 1+1 10000 times,,2048,633757060.0,463967763
[6d87c1b] 1+1 10000 times,,2048,720517140.0,530248872
[6d87c1b] 1+1 10000 times,,2048,832941929.0,596529981
[6d87c1b] 1+1 10000 times,,2048,918904906.0,662811090
